episode,Episode_reward
416,-439.1984137347345
417,-131.55039806091017
418,-276.3067823597184
419,-133.47323929853746
420,-269.257352999033
421,-132.27094324715483
422,-417.6661279310377
423,-134.0262830894294
424,-130.76235450209808
425,-420.507988236364
426,-390.8493163305075
427,-1.364120606287813
428,-127.02280745140834
429,-132.39448243023529
430,-276.397483472039
431,-0.5379382062703745
432,-132.13242253634178
433,-536.8432063136934
434,-129.6706287558868
435,-130.2042215749292
436,-0.4909413763362501
437,-131.3525257065719
438,-132.67943906101536
439,-129.07988756501237
440,-265.6264459522257
441,-276.2531966688038
442,-396.2526120146703
443,-263.43214160628685
444,-129.5107310015052
445,-558.6366265495637
446,-133.36313499515248
447,-294.6309498006051
448,-133.84053301109032
449,-1.5291668104838878
450,-130.93169758919367
451,-130.11399884279356
452,-1.9056458979518989
453,-839.8633634697788
454,-548.9476998288168
455,-133.40933625276168
456,-135.372682142078
457,-0.7899794976075536
458,-453.9782764245261
459,-478.1079208001761
460,-135.884183362558
461,-0.6623987582439779
462,-128.300773145472
463,-135.68614354163398
464,-1.9818486835816083
465,-0.3159902337651191
466,-424.2494838795327
467,-130.64267686717264
468,-538.5281116280297
469,-129.7763193019717
470,-288.5908374619924
471,-0.1991732793175337
472,-0.20195224419801772
473,-131.9694536107373
474,-412.0149317388589
475,-303.34102343979595
476,-449.8922383866344
477,-0.09397011037676005
478,-266.1212128322122
479,-780.7198310059806
480,-131.5548305588677
481,-266.9190222760589
482,-128.20687651776421
483,-795.4387481313919
484,-133.73878188868022
485,-276.67067129322527
486,-829.5467261419512
487,-280.4202388217521
488,-132.4156662501952
489,-765.6482333643263
490,-262.7729344678052
491,-420.1341838498203
492,-133.98282738606798
493,-444.88171647529737
494,-268.53404263321625
495,-397.61553803167624
496,-134.81915576818787
497,-270.5408630837173
498,-396.1565742531806
499,-418.6222552511913
500,-603.5576566347302
501,-131.95383348410633
502,-468.4003396501181
503,-132.90850520647828
504,-131.54073846495606
505,-451.5044435299016
506,-134.6300280428763
507,-265.800688011439
508,-128.56879147166856
509,-132.52203658964257
510,-466.6167526430982
511,-262.0102678721883
512,-133.59155503004683
513,-476.14511215217726
514,-130.82621077977015
515,-132.38336326928132
516,-131.27939619363542
517,-131.36325957254175
518,-131.27985290981485
519,-668.7746822987651
520,-1.58055688017771
521,-128.96897950316676
522,-632.8523297619583
523,-262.60618775687914
524,-260.8535756643901
525,-1.3922351667722266
526,-132.43322998994657
527,-261.8987389883107
528,-277.4760362725828
529,-130.94128879054247
530,-137.09652523389354
531,-291.005057114452
532,-129.73368033582733
533,-277.24829428304014
534,-2.350181268412813
535,-270.5783491333305
536,-265.80297075461635
537,-404.1113488281632
538,-131.13231523269948
539,-131.42745512722703
540,-267.9530297111102
541,-266.65883813887945
542,-267.10649656528363
543,-0.8102988141430318
544,-415.5918503972396
545,-264.81427423868314
546,-266.0413833203874
547,-454.01414656159363
548,-266.19873368093624
549,-272.3171644692956
550,-287.9215407263391
551,-265.7572576045903
552,-133.20191978435784
553,-265.0701787158883
554,-266.40113537344513
555,-0.5946830812954091
556,-132.72531202873424
557,-132.76505172396065
558,-0.16563265900746538
559,-390.2871980955343
560,-0.08371436176665631
561,-260.88838799136806
562,-307.6134932574837
563,-494.8082308197236
564,-130.8845888276247
565,-275.69531397269793
566,-269.9673692853557
567,-467.8716270191235
568,-130.3511105698562
569,-132.91935596612254
570,-132.09780378466232
571,-281.38269060543314
572,-496.6304696546203
573,-137.38436397495676
574,-255.6800650160358
575,-131.31463278382486
576,-264.5410918328309
577,-259.0950404875331
578,-128.1692037106916
579,-265.75536580814
580,-398.06778188338905
581,-1098.5150615103364
582,-280.39378170376426
583,-280.36269424030337
584,-274.11554715883904
585,-130.05898046470077
586,-130.27480657256777
587,-126.87184109344687
588,-400.6649782716053
589,-133.02004524871555
590,-485.52200099303684
591,-137.10693595386175
592,-135.97780361797655
593,-265.08286161094543
594,-477.11732015575717
595,-134.1367975667315
596,-286.88114608667496
597,-283.6562744277814
598,-272.09637283889316
599,-262.05687066533983
600,-399.956964500979
601,-269.20341639317166
602,-276.43252944312525
603,-134.72515447191597
604,-132.1105272237915
605,-128.9207870220414
606,-404.74102217776107
607,-135.15284257170737
608,-267.04033240382176
609,-134.14264222705697
610,-129.06027629659076
611,-522.567225050231
612,-134.52666585661385
613,-1.5625675837437125
614,-417.3190272511867
615,-133.23234004568982
616,-432.18610607743
617,-278.0742076906205
618,-277.1765969851888
619,-379.2487706671036
620,-131.97147253355507
621,-0.5816509514571214
622,-410.37455139450634
623,-398.86712342925756
624,-265.9839588301461
625,-134.39878851944513
626,-130.4023344737719
627,-130.15206958615835
628,-609.2800882338659
629,-262.65879368731254
630,-275.3434838805048
631,-265.9514012881215
632,-1.403497606176559
633,-1.3118340477787118
634,-270.9223760295929
635,-290.2115127078669
636,-133.91516705834746
637,-254.98557445892996
638,-133.86831903333825
639,-453.8816029543904
640,-134.0725757698902
641,-282.61316486011356
642,-302.69168668692134
643,-133.79786768289722
644,-128.42148213709962
645,-0.5753422492942136
646,-268.68382459448907
647,-134.01137234875267
648,-1.865252732695061
649,-281.4754689565876
650,-130.54043158212917
651,-132.3192513190082
652,-0.8861464663624472
653,-0.42685651013530956
654,-133.27713161955288
655,-134.93412072392593
656,-129.02564794564654
657,-275.14836051596876
658,-0.3869952271508194
659,-132.35766460127286
660,-273.36154444176174
661,-276.4680531008381
662,-131.69094260708445
663,-464.02855406978347
664,-134.19373810810796
665,-131.11002107751625
666,-131.7537571997773
667,-131.7571319338296
668,-277.6369105848421
669,-378.6409676470773
670,-531.1428564044008
671,-492.7563448068696
672,-280.7430629453402
673,-275.4309828432187
674,-3.704901180791584
675,-271.2406772745335
676,-128.52482823468125
677,-430.3099508253177
678,-2.668217983311429
679,-129.71313459362307
680,-135.58781969266374
681,-1.2889258496955585
682,-132.47498007025754
683,-676.6232261308509
684,-272.17053034793577
685,-274.76453956858194
686,-133.44359756563858
687,-266.2537643298972
688,-130.2899135351297
689,-132.01274154075782
690,-139.01631217434758
691,-265.96808085290917
692,-1.6385340948362541
693,-132.73437255768027
694,-135.27863671847706
695,-131.64099237188066
696,-132.21506172244838
697,-295.9323341085131
698,-280.0838330271756
699,-129.829151119701
700,-259.61144239906866
701,-268.18562845799386
702,-133.424635957872
703,-263.1993673848063
704,-412.26216520189297
705,-130.55480294630655
706,-132.99592141073734
707,-267.2381343847592
708,-262.1843169589338
709,-436.5114834868764
710,-467.3611173725426
711,-267.5428463964697
712,-615.7272271133141
713,-271.2708151826943
714,-132.43069960575178
715,-814.0246157739542
716,-282.12079284383077
717,-266.18748961740994
718,-402.934431318264
719,-132.33377067877367
720,-2.0423553165833077
721,-134.78743452482829
722,-130.0475809949948
723,-257.8444182871238
724,-130.08977993663598
725,-134.1545959108147
726,-713.6034177834453
727,-1174.310325104609
728,-132.32508133855072
729,-130.62571110330154
730,-135.78388786624384
731,-1184.7412682789466
732,-386.16537887470315
733,-130.66559920088199
734,-408.9848059133819
735,-1230.3004757658402
736,-1367.3563701585053
737,-1249.7463286062086
738,-283.0093864579787
739,-131.66181793544004
740,-1229.1286858323103
741,-1279.7529215684087
742,-133.10338741159424
743,-133.32795450884188
744,-484.91223878839565
745,-270.6060324689685
746,-668.4069721657899
747,-260.53698763636936
748,-135.12178283521152
749,-1094.6269103780144
750,-2.0793928628175737
751,-1199.9418523724785
752,-1219.1502175348942
753,-280.20233623912264
754,-131.69214071139223
755,-1244.8822606462204
756,-140.00585345589596
757,-1136.3499793544613
758,-132.11888195217267
759,-131.77562149569206
760,-1094.6248088647742
761,-299.3862016679064
762,-128.47680662336515
763,-133.61818914296055
764,-1200.2963137975203
765,-1090.4154929454642
766,-265.29917467057027
767,-140.7279581470671
768,-3.3048559741871615
769,-137.21149736303641
770,-1218.262813925842
771,-275.6643960596486
772,-1216.982029381374
773,-397.78273559922934
774,-131.4857971353642
775,-268.45243565490506
776,-269.5330104877411
777,-3.9421396004766374
778,-133.20112376562986
779,-652.5728271426433
780,-3.052363264759007
781,-129.94844964543552
782,-128.65302326597958
783,-264.70345957210304
784,-131.87322258061113
785,-131.972844168678
786,-1.6355029245763193
787,-138.4597266502238
788,-133.31963727422772
789,-305.9458391868768
790,-381.47760630252003
791,-656.8683105215624
792,-448.235620954111
793,-474.3288104290308
794,-503.46394130980974
795,-1098.0899153966134
796,-0.9999234747017721
797,-267.1747600812731
798,-383.86666764029763
799,-273.2481355066638
800,-130.47748192714386
801,-389.54971717757115
802,-269.45869577070806
803,-1212.720707968565
804,-437.4500805328914
805,-1108.520475274278
806,-404.1990396921668
807,-1131.8392126546516
808,-271.35843149004876
809,-131.83364996356957
810,-133.688565706255
811,-129.73894605524478
812,-273.3463301602851
813,-134.17171186121791
814,-1227.588254814513
815,-129.82649547926545
816,-276.84341242507634
817,-609.7239815707824
818,-135.7973487910414
819,-1281.445408692033
820,-1074.6143840602706
821,-3.2051835561244975
822,-277.78078004665434
823,-127.24116628030448
824,-1.4602971299232406
825,-1.8242750006705484
826,-1355.6529135524013
827,-1.8558637763438943
828,-266.67467462158766
829,-782.1502128642132
830,-272.27331661949086
831,-1230.5311921998937
832,-274.01396190066777
833,-1119.0334886890391
834,-136.31655871819942
835,-1266.0744647749966
836,-135.92127978200315
837,-395.8897798364141
838,-3.6215762877675264
839,-134.1554717646213
840,-972.9693092163454
841,-1168.5471050918968
842,-4.626436071977381
843,-515.6861571910925
844,-140.42814319179624
845,-6.44015557903797
846,-265.4520540270457
847,-137.38093678592926
848,-510.5338376910191
