episode,Episode_reward
0,-1624.06042755603
1,-1482.2988534477965
2,-1841.2737442452294
3,-1660.5657410056021
4,-1685.7029900047755
5,-1868.993935823475
6,-1775.711644319392
7,-1498.3120057878232
8,-1631.2746369272154
9,-1655.3386944761735
10,-1834.653077130848
11,-1821.1894998029347
12,-1839.3862946741428
13,-1693.4407814353506
14,-1887.171953689099
15,-1782.6416027464759
16,-1625.8267941192787
17,-1820.1116200418692
18,-1438.7972765501804
19,-1501.585821815705
20,-1692.1845690903522
21,-1430.7902103637227
22,-1448.6071094169365
23,-1425.4019695085844
24,-1560.372666399382
25,-1334.8379545108542
26,-1457.6298771439554
27,-1519.1705605293116
28,-969.0725009067082
29,-1199.0232999235243
30,-1480.7084465631265
31,-1470.8782879589248
32,-1395.8930675544495
33,-1380.537637682889
34,-1094.0608146679308
35,-1187.0458196864968
36,-1406.8833417823853
37,-1071.738589690334
38,-1461.4470124012298
39,-1212.7723977370847
40,-1024.135862223126
41,-1115.7142066918686
42,-1335.495421419397
43,-1206.0470949754674
44,-1357.692019114182
45,-979.454948739696
46,-1157.0125223301775
47,-1330.2939118591378
48,-1038.237713975597
49,-954.1516429837549
50,-1315.6517951928574
51,-1008.1926545162283
52,-1007.8609066843437
53,-901.7198880819133
54,-914.2259312872046
55,-960.5928294542747
56,-918.890623725234
57,-1082.3113619412165
58,-1197.7852754303428
59,-1051.2007449270418
60,-912.6422525001034
61,-1062.3428772217426
62,-1122.4003278614593
63,-1208.5742661908014
64,-1183.1273334229782
65,-1250.0011592702492
66,-1319.1825006708232
67,-1158.8111221298284
68,-1021.1161846833475
69,-1106.0230539860165
70,-713.6646629325302
71,-1200.9148325043755
72,-896.3758980885236
73,-979.7600926650342
74,-1171.8186009179774
75,-751.0377804993286
76,-637.4049158623621
77,-1062.038748487301
78,-1052.9971215192243
79,-1083.7517073347096
80,-1080.3793317995264
81,-767.5954338805934
82,-987.4342235659828
83,-1061.4787378614428
84,-862.789501080577
85,-1027.623995213525
86,-647.5364008213782
87,-766.8261868539221
88,-1051.1174914577666
89,-921.3518544388705
90,-1185.0697832495075
91,-517.9304867471265
92,-775.0183944831422
93,-1191.1788811751596
94,-817.8010781427871
95,-514.769590943473
96,-819.3953010165482
97,-640.3768773866561
98,-771.6021917275309
99,-504.77326323722576
100,-837.9376489361472
101,-673.3451217940288
102,-1057.985764347345
103,-850.8864711450173
104,-870.1676733405826
105,-989.9213237352112
106,-822.5883541164652
107,-925.255277043231
108,-555.6869440309399
109,-771.6985972876315
110,-533.0936411272024
111,-768.3072605977885
112,-789.3658164549544
113,-784.8658413016947
114,-391.3106701039017
115,-655.9404246536467
116,-582.2297386916827
117,-806.4463008087649
118,-801.254418861087
119,-388.6797266488546
120,-392.095776305633
121,-513.687001156152
122,-799.9000498319315
123,-820.9437392431181
124,-649.7353092387575
125,-782.5541544817752
126,-785.9691594102972
127,-797.8561598934688
128,-1063.3991407613491
129,-768.4682577327646
130,-1095.2212179076778
131,-920.2477370265617
132,-643.4685034531825
133,-663.9419161808222
134,-932.4259810193744
135,-518.1358063817233
136,-660.2118855018053
137,-652.9598777489027
138,-1093.166504191812
139,-390.68453674184394
140,-1116.0998162402666
141,-1061.1201644545704
142,-798.1868470205286
143,-796.4823132073138
144,-389.94556796252874
145,-1084.4747294023898
146,-513.3102633317
147,-278.0073164119711
148,-662.7845712096997
149,-133.45928598869872
150,-382.3339894368879
151,-654.6614134243812
152,-655.6449991060381
153,-5.564916871598117
154,-399.9510518524999
155,-535.1339986374719
156,-808.4897998840643
157,-661.3558832540878
158,-551.0259266579933
159,-267.5214537431007
160,-259.9158916854164
161,-1.671019845077206
162,-812.9139703954288
163,-1033.8640877138305
164,-1064.7921092940262
165,-519.8236841142821
166,-431.6401784243169
167,-555.6225501127739
168,-391.30353343070243
169,-127.73874093121388
170,-394.4590874396437
171,-129.6982842634008
172,-519.4332318276324
173,-128.69666685272128
174,-129.89201696904564
175,-267.72183114637585
176,-581.1597086574048
177,-266.15177916150975
178,-536.0760752787336
179,-260.44058535960227
180,-530.5309830614124
181,-816.7754538134444
182,-1.3002157986660179
183,-127.66385125064892
184,-261.2331799061969
185,-931.1596101256131
186,-133.79865107717694
187,-2.6904060957554505
188,-136.86023306969355
189,-1297.7558969614279
190,-1130.6105488388314
191,-905.1958244227102
192,-126.34571262498233
193,-253.05127817794997
194,-131.7287041710896
195,-262.30299124626936
196,-134.1996724382555
197,-133.4132624145657
198,-959.2064497737825
199,-3.914273190767575
200,-265.48795628826406
201,-133.59088458519642
202,-272.75451715384276
203,-391.1991106866572
204,-3.756059739746508
205,-136.14975594696386
206,-3.3867908531164503
207,-131.6343958375435
208,-431.31731336210225
209,-1226.7992086461593
210,-130.73138009609818
211,-1.4067175196574075
212,-132.21378619033973
213,-1169.4645510148594
214,-394.1770131610337
215,-129.72374394988995
216,-1053.057548659962
217,-268.2907577344505
218,-125.5773808179627
219,-0.7553215983322649
220,-431.24342308058755
221,-266.86342617343735
222,-1115.0450740433162
223,-379.8791333743611
224,-293.0716528408765
225,-404.44474430721334
226,-128.4986214943263
227,-407.2492103321932
228,-2.647723821064872
229,-130.21460614468904
230,-265.07972796402856
231,-522.8231824837534
232,-793.4594781412483
233,-1195.0420815356072
234,-132.61179987331545
235,-667.1673231831267
236,-548.2450453727915
237,-1.3808024630141127
238,-404.5456519129077
239,-400.8642019097627
240,-391.19451260737833
241,-927.7489192721712
242,-655.9936309903275
243,-263.8562562705687
244,-541.7777790618193
245,-0.9686134396384
246,-263.7774965265955
247,-130.6336381051053
248,-526.8774785248532
249,-1.74026957495752
250,-0.9410709662397428
251,-257.7773566815167
252,-400.63186306443123
253,-128.926929508619
254,-0.5837065490031246
255,-410.43476768206295
256,-1.1478703326949113
257,-131.59786303510342
258,-264.77276351066456
259,-132.39354034606453
260,-131.12791293116595
261,-131.57621511740575
262,-393.60897489769775
263,-268.9320120006765
264,-400.46407213572644
265,-262.5179068149875
266,-1140.7289760898298
267,-127.58826181413676
268,-545.165829494968
269,-130.4356338579889
270,-267.0505730056041
271,-0.34849487760021897
272,-0.5113743341373309
273,-424.9572467796273
274,-618.555536875808
275,-260.97312324652984
276,-129.91533042930658
277,-450.5290564553737
278,-130.0543539935109
279,-133.27276713364526
280,-135.88479284408032
281,-131.43476988947936
282,-131.28985484707056
283,-411.60032964243015
284,-132.97488526784875
285,-266.084323453196
286,-420.8081990372137
287,-128.87725783642173
288,-129.74789145567914
289,-542.7286190585974
290,-0.20527076806410124
291,-466.02292984784316
292,-520.3269907437568
293,-449.00760129753945
294,-407.967864606952
295,-925.2798786270737
296,-270.93733407026747
297,-263.886700319967
298,-125.8434546633749
299,-393.0630820348313
300,-266.36740416516363
301,-131.0636059226751
302,-858.8030475806488
303,-132.22304201605382
304,-265.4492417656963
305,-128.23038620314057
306,-127.43641998110235
307,-270.7313468573156
308,-661.1827572066491
309,-131.9319435787069
310,-265.95846654972195
311,-268.4147257976237
312,-1.365162400726674
313,-127.7100260251352
314,-281.3080693817675
315,-526.6715715836381
316,-126.70206083656284
317,-128.83050016602104
318,-267.1965575259356
319,-127.89415926353776
320,-393.1821669293602
321,-259.1974896067269
322,-135.10520709844258
323,-2.4100482399036367
324,-530.781254163528
325,-2.8538210815050973
326,-3.089525051600844
327,-134.84128803159072
328,-939.9295670908183
329,-447.75323402357645
330,-498.87385469073655
331,-2.5614155329870716
332,-131.88767022157214
333,-271.74461428857154
334,-942.9709630054616
335,-133.68605060925938
336,-834.2677722921493
337,-449.3349261187731
338,-269.4750312413646
339,-130.57782676935236
340,-129.44007998671265
341,-132.94940893871134
342,-131.85634091776618
343,-130.8519055106614
344,-133.79658267836027
345,-0.20991522299379406
346,-534.1932235662576
347,-417.3353440960317
348,-0.17040880207113152
349,-555.9860191336815
350,-434.25242426160656
351,-130.64547235984213
352,-270.5553694082385
353,-262.36182765188386
354,-129.10208488403651
355,-128.6973483598562
356,-135.35787686162257
357,-125.19482289039681
358,-399.2150380345981
359,-264.9519083562286
360,-124.95196927260535
361,-132.52281973595174
362,-131.7169499033541
363,-132.11314762875108
364,-441.1263385098808
365,-130.73690420882986
366,-125.01401728127273
367,-796.5274513285359
368,-264.52084979807313
369,-129.56069605377658
370,-428.1829642814858
371,-1.1342901805529528
372,-0.07975313373204922
373,-131.06608659355678
374,-135.5816179850463
375,-131.95875846066738
376,-133.20791585425235
377,-444.43342625682817
378,-124.45709892848515
379,-139.53903735496434
380,-125.41519142356589
381,-0.9557828942106178
382,-133.25460623723444
383,-131.70670498174508
384,-132.5854149427654
385,-419.72814835062695
386,-264.30668136361083
387,-392.91043970145074
388,-520.268180188819
389,-422.63876949697527
390,-134.63440229025497
391,-0.5042320960052065
392,-396.20932228360806
393,-262.59465826286714
394,-443.9645872626278
395,-131.74673930826623
396,-140.81596187018837
397,-281.53233199713446
398,-277.4697505538331
399,-398.2349512275553
400,-129.32759874708654
401,-130.92781421606048
402,-842.4069267415387
403,-132.94048205675742
404,-129.2032904780742
405,-264.72703371867334
406,-428.2830972840792
407,-416.45532168031144
408,-131.0422321121701
409,-127.20409194430988
410,-436.1335932146997
411,-280.1351811826435
412,-130.83173890023048
413,-132.5145857038245
414,-509.21078096895
415,-275.71060085648645
416,-2.0720739262101913
417,-261.542007854406
418,-400.79599514391407
419,-476.557156788992
420,-271.0164785221994
421,-396.9726450155732
422,-558.2721306976817
