episode,Episode_reward
0,-20.017689689978997
1,-17.418395195384733
2,-15.774565204015047
3,-13.922771257876049
4,-12.992528531055891
5,-10.567591151513781
6,-10.379879751763381
7,-8.867889708721265
8,-8.173578454035066
9,-7.210918544487687
10,-6.17252079009358
11,-5.881566672839258
12,-4.780920656672215
13,-4.159572359587902
14,-3.4431803836149344
15,-3.082705976606011
16,-2.190847640579479
17,-1.7432614197537533
18,-1.8698511763670924
19,-1.6668801981911896
20,-1.1596324814968688
21,-0.2608275095151711
22,-0.5984699286194289
23,-0.10612401512818681
24,0.6233309352576673
25,0.9898754877326366
26,0.5896238148643858
27,0.48421626508063104
28,0.654547319310486
29,0.74310000994425
30,1.1675876847477433
31,1.8277418158372123
32,1.1359907469700323
33,1.0521144571894452
34,2.0321237611452485
35,2.3787228250867147
36,1.714348388991022
37,2.3455655925264156
38,1.8252570623365552
39,2.5158210945187736
40,2.1670940824008826
41,2.4554572381604496
42,2.056315822529021
43,2.9593985214740988
44,1.8001905380368441
45,2.37384871694465
46,2.5292452395976093
47,2.0579456506585547
48,2.49850902973661
49,2.3200749253594832
50,2.119218533907755
51,2.147398218514432
52,2.56017383938042
53,3.1183553246493396
54,2.605656606313698
55,2.258927771825005
56,2.34633632022631
57,2.527301488828765
58,2.0047188992236085
59,2.9858316890361785
60,2.316246637758752
61,2.503531687771538
62,2.152565825357213
63,2.893043808541258
64,3.594096062717198
65,2.353299727869298
66,3.4130081632330413
67,2.4201385025947495
68,2.176289750691992
69,2.367568949560805
70,2.3595411905357593
71,2.5862991416429635
72,2.7071900337736103
73,2.7710701566493032
74,3.2302017682879742
75,2.2301607299537114
76,2.6763437555794782
77,3.395718346707299
78,2.2995373440011795
79,2.797297106354081
80,2.6445931236409277
81,2.841369645497216
82,3.054442793255052
83,3.023824768553151
84,2.680943782427536
85,2.8888118839330326
86,2.471905929165944
87,2.499187398539288
88,3.4066839085086507
89,2.7664355094001376
90,3.2252821250444272
91,2.7301976095557836
92,2.623644778861037
93,2.15375472131035
94,2.0839650824207
95,2.6509000056515877
96,2.5799577916417493
97,3.4362024356116185
98,3.10579697949552
99,2.544241428111813
100,1.9654983747988735
101,2.17864413957201
102,3.108815655206957
103,2.779796515674685
104,2.9286285647534647
105,3.4421707355220272
106,3.0319163080010343
107,2.732522683832909
108,3.075326061084652
109,2.891455354913667
110,3.104183258790722
111,2.663661186846522
112,3.154763026954259
113,2.7015401753361035
114,3.1513762282387177
115,3.415560032904639
116,3.018118723677009
117,2.350470002841487
118,3.312130305916573
119,2.606132724428138
120,3.008354544755548
121,2.541463039481236
122,2.843775608558552
123,2.4645944160771496
124,2.7185034987620247
125,2.3763082428634217
126,2.627469272876887
127,3.0672799195359817
128,3.3972616257095143
129,3.460533355586949
130,3.0627629780318157
131,2.2526693308391392
132,2.9344867844983096
133,2.330264218150845
134,3.077660308893109
135,2.7245178759957307
136,3.417671407009458
137,2.5161477321086334
138,2.7066298069806995
139,2.776255579177826
140,2.800275663605078
141,2.5165733785340487
142,2.953357613735773
143,2.769229829317709
144,2.6838305993246503
145,2.305198889111875
146,2.6649340326011743
147,2.6758315189880624
148,2.4559753818108074
149,3.168058115268259
150,2.6326259039615785
151,2.3843828578398236
152,2.7901406501060926
153,2.46847708920948
154,2.832152070914693
155,3.53094517860054
156,2.686629574399523
157,2.6444824922700927
158,2.7330383136225396
159,3.7653014956798203
160,3.0888512835987454
161,2.7915235356811667
162,2.8152049659670433
163,2.2203116016528464
164,2.884614815572801
165,3.312389818647852
166,2.4938309720209855
167,3.2265031663939014
168,2.897981470597493
169,3.1878923403886192
170,2.098037144733658
171,3.935093645244568
172,3.081567335015984
173,2.7035433656677457
174,3.0349657625344397
175,3.2368192622176997
176,2.6780769798094646
177,2.495488193748189
178,2.35523187623689
179,3.315666778735061
180,3.2529288655613
181,2.7602831160249077
182,2.4454484812738095
183,2.0038053653002694
184,3.2623929255944306
185,2.63182301458289
186,3.1416345327044226
187,2.8185952732710646
188,2.669868514399647
189,4.098600262973862
190,2.700083017631645
191,2.5591874523775653
192,1.9893919124975965
193,3.3088318006897897
194,2.9394971172171735
195,2.9910091897031346
196,2.884351706788919
197,2.323252904961105
198,2.459525230103511
199,2.8274279359410093
200,2.5674186285382086
201,4.287021172961209
202,3.2658639255074577
203,2.4330289563599505
204,2.5493591198255157
205,2.5552483910154824
206,2.6228102581739083
207,2.7481864077877414
208,2.4807346011871525
209,2.5592869804467036
210,2.9454464983394524
211,3.2685193761257687
212,2.5918931024933407
213,2.7972857480323325
214,3.326445370189236
215,3.50013816628888
216,3.288330959058509
217,2.352278757933201
218,2.7394684781992273
219,2.1238429889626946
220,2.5250346550023854
221,2.7658708679981605
222,2.6788256502796353
223,2.2123465421661095
224,3.090495075340427
225,2.5709656699730097
226,2.15174467904159
227,2.4145891556301113
228,2.475561817537193
229,2.2321242370351357
230,2.466174444220825
231,2.8003390851250716
232,2.743061748130229
233,2.2211489429423956
234,2.7724184800688905
235,2.3998010193688906
236,2.691018291604803
237,2.566793689880727
238,2.744625628475891
239,2.966081323904771
